Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,156000.000000,156000.000000,145500.000000,149000.000000,144135.593750,2577890
2018-01-08,148500.000000,158000.000000,147500.000000,154000.000000,148972.359375,2643772
2018-01-15,154000.000000,162000.000000,151000.000000,162000.000000,156711.171875,2081097
2018-01-22,162500.000000,167500.000000,149000.000000,152500.000000,147521.328125,3798731
2018-01-29,153000.000000,164000.000000,152000.000000,162500.000000,157194.859375,3180636
2018-02-05,162500.000000,163500.000000,153500.000000,155000.000000,149939.703125,3519128
2018-02-12,155500.000000,156500.000000,152000.000000,154500.000000,149456.031250,1348444
2018-02-19,156500.000000,161000.000000,152500.000000,159000.000000,153809.125000,1636538
2018-02-26,159000.000000,163000.000000,154500.000000,156000.000000,150907.062500,1874762
2018-03-05,155500.000000,158000.000000,152000.000000,154000.000000,148972.359375,2334004
2018-03-12,154000.000000,159500.000000,152000.000000,157500.000000,152358.093750,2126040
2018-03-19,152500.000000,155000.000000,150000.000000,151500.000000,146553.968750,2246452
2018-03-26,151000.000000,155000.000000,142500.000000,143500.000000,138815.140625,4114012
2018-04-02,144500.000000,159500.000000,144000.000000,152500.000000,147521.328125,4808323
2018-04-09,152000.000000,153000.000000,149000.000000,150500.000000,145586.625000,1742410
2018-04-16,151000.000000,160000.000000,150000.000000,160000.000000,154776.468750,2232327
2018-04-23,160000.000000,165500.000000,154000.000000,158000.000000,152841.765625,3085837
2018-04-30,159000.000000,163000.000000,156500.000000,158000.000000,152841.765625,1502561
2018-05-07,158000.000000,161000.000000,150500.000000,153000.000000,148005.000000,2176231
2018-05-14,153500.000000,154500.000000,146000.000000,150000.000000,145102.937500,2278604
2018-05-21,149500.000000,151000.000000,138500.000000,139000.000000,134462.062500,3480602
2018-05-28,139000.000000,141000.000000,136000.000000,140000.000000,135429.406250,2849414
2018-06-04,140000.000000,144000.000000,139000.000000,141000.000000,136396.765625,2329198
2018-06-11,140000.000000,142000.000000,133000.000000,134000.000000,129625.296875,2726219
2018-06-18,134500.000000,136500.000000,125000.000000,130000.000000,125755.882813,3199132
2018-06-25,129500.000000,131000.000000,123000.000000,125500.000000,121402.796875,3800946
2018-07-02,125000.000000,126000.000000,118000.000000,123500.000000,120412.500000,2999108
2018-07-09,124000.000000,125500.000000,120500.000000,122500.000000,119437.500000,1935728
2018-07-16,122500.000000,129000.000000,122500.000000,127000.000000,123825.000000,2078962
2018-07-23,127500.000000,131500.000000,126500.000000,129500.000000,126262.500000,2294671
2018-07-30,129000.000000,131000.000000,124000.000000,124000.000000,120900.000000,1624407
2018-08-06,124500.000000,129500.000000,123500.000000,126000.000000,122850.000000,2145433
2018-08-13,125000.000000,127000.000000,122000.000000,126500.000000,123337.500000,1380313
2018-08-20,127500.000000,128000.000000,123000.000000,124500.000000,121387.500000,1441990
2018-08-27,125000.000000,127000.000000,123000.000000,125000.000000,121875.000000,1854464
2018-09-03,124500.000000,137000.000000,123500.000000,133000.000000,129675.000000,3161243
2018-09-10,131500.000000,133500.000000,128000.000000,129500.000000,126262.500000,1846520
2018-09-17,129000.000000,131000.000000,125500.000000,129000.000000,125775.000000,2238274
2018-09-24,129000.000000,130500.000000,128000.000000,129500.000000,126262.500000,761627
2018-10-01,130000.000000,130000.000000,122500.000000,124500.000000,121387.500000,1404114
2018-10-08,123500.000000,124000.000000,114500.000000,115500.000000,112612.500000,2297758
2018-10-15,116500.000000,119500.000000,111500.000000,115500.000000,112612.500000,2787344
2018-10-22,115000.000000,118500.000000,102500.000000,108000.000000,105300.000000,4230683
2018-10-29,106000.000000,110500.000000,103500.000000,110000.000000,107250.000000,3133070
2018-11-05,107000.000000,110000.000000,103500.000000,105000.000000,102375.000000,3572754
2018-11-12,105000.000000,105500.000000,99600.000000,103000.000000,100425.000000,2637702
2018-11-19,103000.000000,103500.000000,92500.000000,93700.000000,91357.500000,4819473
2018-11-26,93600.000000,108000.000000,93500.000000,107000.000000,104325.000000,6530236
2018-12-03,108500.000000,112500.000000,105500.000000,111000.000000,108225.000000,3318073
2018-12-10,108500.000000,121500.000000,108500.000000,116500.000000,113587.500000,3926013
2018-12-17,115000.000000,124500.000000,112500.000000,122500.000000,119437.500000,3659967
2018-12-24,122000.000000,124000.000000,117500.000000,118500.000000,115537.500000,1708682
2018-12-31,118500.000000,118500.000000,118500.000000,118500.000000,118500.000000,0
